,song_id,score|1,score|2,score|3,score|4,eval_score,storytelling
61,540,5.125,4.6,5.125,4.65,5.125,UNK
62,541,5.628571428571429,4.942857142857143,4.428571428571429,5.485714285714286,5.628571428571429,Yes
63,559,5.742857142857143,5.571428571428571,4.571428571428571,5.685714285714286,5.742857142857143,Yes
64,571,5.225806451612903,4.903225806451613,4.806451612903226,5.0,5.225806451612903,UNK
65,606,5.195121951219512,5.487804878048781,4.780487804878049,5.0,5.195121951219512,UNK
66,64,4.761904761904762,4.928571428571429,4.619047619047619,5.023809523809524,4.761904761904762,No
67,654,5.6976744186046515,5.465116279069767,4.348837209302325,5.6976744186046515,5.6976744186046515,Yes
68,672,5.2,4.622222222222222,4.7555555555555555,5.066666666666666,5.2,UNK
69,680,5.0588235294117645,4.9411764705882355,4.529411764705882,4.823529411764706,5.0588235294117645,UNK
70,69,5.365853658536586,5.2926829268292686,4.682926829268292,5.121951219512195,5.365853658536586,UNK
71,691,5.0,4.568181818181818,4.545454545454546,4.840909090909091,5.0,UNK
72,7,5.638888888888889,5.194444444444445,5.25,5.055555555555555,5.638888888888889,Yes
73,70,5.487179487179487,4.897435897435898,5.051282051282051,5.153846153846154,5.487179487179487,UNK
74,728,5.071428571428571,4.738095238095238,5.166666666666667,4.714285714285714,5.071428571428571,UNK
75,735,5.157894736842105,5.2368421052631575,4.578947368421052,5.184210526315789,5.157894736842105,UNK
76,749,5.305555555555555,5.222222222222222,5.027777777777778,4.944444444444445,5.305555555555555,UNK
77,82,5.725,5.6,3.925,5.525,5.725,Yes
78,87,5.4,5.2,4.375,5.375,5.4,UNK
79,999,5.571428571428571,5.4,4.314285714285714,5.314285714285714,5.571428571428571,Yes
