,song_id,score|1,score|2,score|3,score|4,eval_score,storytelling
67,55,5.410256410256411,5.538461538461538,4.282051282051282,5.282051282051282,5.410256410256411,UNK
68,56,5.487804878048781,5.2926829268292686,4.463414634146342,5.560975609756097,5.487804878048781,UNK
69,6,5.15,5.25,4.325,5.075,5.15,UNK
70,60,5.625,5.3,4.45,5.525,5.625,Yes
71,62,5.0,5.078947368421052,4.2368421052631575,5.052631578947368,5.0,No
72,66,5.17948717948718,5.256410256410256,4.948717948717949,5.205128205128205,5.17948717948718,UNK
73,71,5.342105263157895,5.473684210526316,3.8684210526315788,5.447368421052632,5.342105263157895,UNK
74,75,5.475,5.225,4.3,5.45,5.475,UNK
75,76,4.897435897435898,4.846153846153846,5.0,4.846153846153846,4.897435897435898,No
76,83,5.225,5.275,4.55,5.225,5.225,UNK
77,88,5.390243902439025,5.341463414634147,4.682926829268292,5.2439024390243905,5.390243902439025,UNK
78,98,5.743589743589744,5.487179487179487,3.5641025641025643,5.512820512820513,5.743589743589744,Yes
79,99,5.538461538461538,5.564102564102564,3.9743589743589745,5.666666666666667,5.538461538461538,UNK
