award;artist;song;certificat_gold_date;certification_platinum_date;certification_diamond_date;release_date;genre;type;certified_units
Diamond;JHAY CORTEZ, ANUEL AA, J BALVIN;MEDUSA;March 3, 2020;March 3, 2020;February 8, 2021;FEBRUARY 4, 2020;LATIN;Latin;0.6 Million
Diamond;BAD BUNNY, JHAY CORTEZ;DÁKITI;February 3, 2021;February 3, 2021;February 3, 2021;OCTOBER 30, 2020;LATIN;Latin;1.44 Million
Diamond;MALUMA;HAWÁI;February 1, 2021;February 1, 2021;February 1, 2021;JULY 29, 2020;LATIN;Latin;0.84 Million
Diamond;LENIN RAMIREZ;YO YA NO VUELVO CONTIGO (EN VIVO) (FT. GRUPO FIRME);January 21, 2021;January 21, 2021;January 21, 2021;SEPTEMBER 20, 2020;LATIN;Latin;0.84 Million
Diamond;LIL NAS X;OLD TOWN ROAD (FEAT. BILLY RAY CYRUS);May 10, 2019;May 10, 2019;January 9, 2021;APRIL 5, 2019;COUNTRY;Digital;14 Million
Diamond;THE CHAINSMOKERS;CLOSER;August 26, 2016;September 7, 2016;January 7, 2021;JULY 29, 2016;POP;Digital;13 Million
Diamond;TRAVIS SCOTT;SICKO MODE;September 21, 2018;September 21, 2018;December 9, 2020;AUGUST 3, 2018;R&B/HIP HOP;Digital;10 Million
Diamond;MILEY CYRUS;PARTY IN THE U.S.A.;January 13, 2010;January 13, 2010;December 7, 2020;AUGUST 11, 2009;POP;Digital;10 Million
Diamond;DALEX;PA MI REMIX (FEAT. RAFA PABON, KHEA, SECH, CAZZU, FEID & LENNY TAVAREZ);June 20, 2019;June 20, 2019;November 30, 2020;FEBRUARY 7, 2019;LATIN;Latin;0.72 Million
Diamond;SECH;RELACION;November 30, 2020;November 30, 2020;November 30, 2020;APRIL 2, 2020;LATIN;Latin;0.6 Million
Diamond;SECH, DARELL;OTRO TRAGO;September 10, 2019;September 10, 2019;November 30, 2020;APRIL 19, 2019;LATIN;Latin;2.1 Million
Diamond;CAMILO, PEDRO CAPÓ;TUTU;September 24, 2019;September 24, 2019;November 13, 2020;AUGUST 9, 2019;LATIN;Latin;0.6 Million
Diamond;BAD BUNNY;LA DIFÍCIL;November 12, 2020;November 12, 2020;November 12, 2020;FEBRUARY 28, 2020;LATIN;Latin;0.9 Million
Diamond;BAD BUNNY;SI VEO A TU MAMÁ;November 12, 2020;November 12, 2020;November 12, 2020;FEBRUARY 28, 2020;LATIN;Latin;1.02 Million
Diamond;BAD BUNNY;YO PERREO SOLA;November 12, 2020;November 12, 2020;November 12, 2020;FEBRUARY 28, 2020;LATIN;Latin;1.44 Million
Diamond;BAD BUNNY;VETE;November 12, 2020;November 12, 2020;November 12, 2020;NOVEMBER 21, 2019;LATIN;Latin;1.62 Million
Diamond;BAD BUNNY;SOLO DE MI;November 12, 2020;November 12, 2020;November 12, 2020;DECEMBER 14, 2018;LATIN;Latin;1.02 Million
Diamond;BAD BUNNY, DADDY YANKEE;LA SANTA;November 12, 2020;November 12, 2020;November 12, 2020;FEBRUARY 28, 2020;LATIN;Latin;0.72 Million
Diamond;BAD BUNNY, JOWELL & RANDY, ÑENGO FLOW;SAFAERA;November 12, 2020;November 12, 2020;November 12, 2020;FEBRUARY 28, 2020;LATIN;Latin;1.26 Million
Diamond;BAD BUNNY, SECH;IGNORANTES;November 12, 2020;November 12, 2020;November 12, 2020;FEBRUARY 14, 2020;LATIN;Latin;0.9 Million
Diamond;SAM SMITH;STAY WITH ME;November 25, 2014;November 25, 2014;November 12, 2020;APRIL 9, 2014;POP;Digital;10 Million
Diamond;POST MALONE;ROCKSTAR (FEAT. 21 SAVAGE);October 27, 2017;October 27, 2017;November 9, 2020;SEPTEMBER 15, 2017;R&B/HIP HOP;Digital;10 Million
Diamond;POST MALONE & SWAE LEE;SUNFLOWER (SPIDER-MAN: INTO THE SPIDER-VERSE);November 20, 2018;March 13, 2019;November 9, 2020;OCTOBER 18, 2018;R&B/HIP HOP;Digital;11 Million
Diamond;PINKFONG;BABY SHARK;November 5, 2020;November 5, 2020;November 5, 2020;JUNE 18, 2016;CHILDRENS;Digital;11 Million
Diamond;FOSTER THE PEOPLE;PUMPED UP KICKS;July 20, 2011;August 25, 2011;October 13, 2020;MARCH 14, 2011;UNASSIGNED;Digital;10 Million
Diamond;JOHN LEGEND;ALL OF ME;January 8, 2014;February 21, 2014;October 13, 2020;SEPTEMBER 3, 2013;UNASSIGNED;Digital;13 Million
Diamond;BRUNO MARS;GRENADE;December 15, 2010;January 14, 2011;October 2, 2020;OCTOBER 5, 2010;POP;Digital;10 Million
Diamond;J BALVIN, DUA LIPA, BAD BUNNY, TAINY;UN DIA (ONE DAY);August 3, 2020;August 3, 2020;September 24, 2020;JULY 23, 2020;LATIN;Latin;0.9 Million
Diamond;AVENTURA;INMORTAL;February 28, 2020;February 28, 2020;August 20, 2020;SEPTEMBER 4, 2019;LATIN;Latin;0.6 Million
Diamond;KATY PERRY;FIREWORK;January 19, 2011;January 19, 2011;August 20, 2020;OCTOBER 26, 2010;POP;Digital;12 Million
Diamond;BEBE REXHA;MEANT TO BE (FEAT. FLORIDA GEORGIA LINE);February 13, 2018;March 28, 2018;August 17, 2020;AUGUST 11, 2017;POP;Digital;10 Million
Diamond;BRYTIAGO & DARELL;ASESINA;;;August 7, 2020;MAY 10, 2018;LATIN;Latin;0.72 Million
Diamond;NIO GARCIA, CASPER MAGICO, BAD BUNNY, OZUNA, DARELL & NICKY JAM;TE BOTE (REMIX);May 31, 2018;May 31, 2018;August 7, 2020;APRIL 10, 2018;LATIN;Latin;4.26 Million
Diamond;DADDY YANKEE;CON CALMA (FEAT.SNOW);July 9, 2019;July 9, 2019;August 6, 2020;JANUARY 21, 2019;LATIN;Latin;2.46 Million
Diamond;DADDY YANKEE;DURA;September 27, 2018;September 27, 2018;August 6, 2020;JANUARY 18, 2018;LATIN;Latin;2.58 Million
Diamond;DADDY YANKEE;SHAKY SHAKY;September 24, 2018;September 24, 2018;August 6, 2020;APRIL 8, 2016;LATIN;Latin;1.38 Million
Diamond;REIK;ME NIEGO (FEAT. OZUNA & WISIN);May 4, 2018;May 4, 2018;June 24, 2020;FEBRUARY 16, 2018;LATIN;Latin;1.26 Million
Diamond;CARLOS VIVES & SEBASTIAN YATRA;ROBARTE UN BESO;;;May 12, 2020;JULY 28, 2017;LATIN;Latin;0.96 Million
Diamond;CARLOS VIVES & SHAKIRA;LA BICICLETA;February 8, 2018;February 8, 2018;May 12, 2020;MAY 27, 2016;LATIN;Latin;1.62 Million
Diamond;PHARRELL WILLIAMS;HAPPY;February 6, 2014;February 21, 2014;May 6, 2020;DECEMBER 18, 2013;POP;Digital;11 Million
Diamond;THE WEEKND;THE HILLS;July 27, 2015;July 27, 2015;March 20, 2020;MAY 27, 2015;R&B/HIP HOP;Digital;11 Million
Diamond;TAYLOR SWIFT;SHAKE IT OFF;September 3, 2014;September 9, 2014;March 13, 2020;AUGUST 18, 2014;POP;Digital;10 Million
Diamond;CHINO & NACHO;ANDAS EN MI CABEZA;June 10, 2016;June 10, 2016;March 12, 2020;FEBRUARY 19, 2016;LATIN;Latin;0.9 Million
Diamond;RAYMIX;OYE MUJER;April 23, 2019;April 23, 2019;February 25, 2020;JULY 1, 2017;LATIN;Latin;0.84 Million
Diamond;JHAY CORTEZ, BAD BUNNY & J BALVIN;NO ME CONOCE (REMIX);June 19, 2019;June 19, 2019;January 8, 2020;FEBRUARY 22, 2019;LATIN;Latin;1.2 Million
Diamond;LUIS FONSI & DADDY YANKEE;DESPACITO;October 24, 2017;October 24, 2017;January 6, 2020;JANUARY 13, 2017;LATIN;Digital;13 Million
Diamond;ED SHEERAN;PERFECT;August 16, 2017;November 10, 2017;December 20, 2019;MARCH 3, 2017;POP;Digital;10 Million
Diamond;DADDY YANKEE;SHAKY SHAKY;September 24, 2018;September 24, 2018;December 17, 2019;APRIL 8, 2016;LATIN;Latin;1.38 Million
Diamond;FETTY WAP;TRAP QUEEN;April 20, 2015;May 14, 2015;November 8, 2019;APRIL 22, 2014;R&B/HIP HOP;Digital;10 Million
Diamond;POST MALONE;CONGRATULATIONS;March 22, 2017;March 22, 2017;October 8, 2019;DECEMBER 9, 2016;R&B/HIP HOP;Digital;11 Million
Diamond;MALUMA;HP;;;October 4, 2019;MARCH 1, 2019;LATIN;Latin;0.66 Million
Diamond;DRAKE;GOD'S PLAN;May 31, 2018;May 31, 2018;September 25, 2019;JANUARY 19, 2018;R&B/HIP HOP;Digital;11 Million
Diamond;WIZ KHALIFA;SEE YOU AGAIN (FEAT. CHARLIE PUTH);June 11, 2015;June 11, 2015;September 24, 2019;MARCH 10, 2015;R&B/HIP HOP;Digital;11 Million
Diamond;PEDRO CAPO & FARRUKO;CALMA (REMIX);April 8, 2019;April 8, 2019;September 19, 2019;OCTOBER 5, 2018;LATIN;Latin;1.5 Million
Diamond;SEBASTIAN YATRA;TRAICIONERA;December 8, 2016;November 30, 2017;September 19, 2019;JUNE 24, 2016;LATIN;Latin;0.6 Million
Diamond;CARDI B;BODAK YELLOW;August 22, 2017;April 23, 2014;September 6, 2019;JUNE 16, 2017;R&B/HIP HOP;Digital;10 Million
Diamond;QUEEN;BOHEMIAN RHAPSODY;August 8, 2005;May 31, 2019;September 5, 2019;NOVEMBER 21, 1975;ROCK;Digital;10 Million
Diamond;ANUEL AA X HAZE;AMANECE;May 31, 2019;April 24, 2019;August 15, 2019;DECEMBER 14, 2018;LATIN;Latin;0.78 Million
Diamond;BAD BUNNY, PRINCE ROYCE & J BALVIN, DJ LUIAN & MAMBO KINGZ);SENSUALIDAD;April 24, 2019;April 24, 2019;July 31, 2019;NOVEMBER 3, 2017;LATIN;Latin;1.14 Million
Diamond;DJ LUIAN X MAMBO KINGZ FT ANUEL AA, PRINCE ROYCE, BECKY G;BUBALU;April 24, 2019;July 31, 2019;July 31, 2019;NOVEMBER 6, 2018;LATIN;Latin;1.14 Million
Diamond;TRAVIS SCOTT;SICKO MODE;July 31, 2019;September 21, 2018;July 26, 2019;AUGUST 3, 2018;R&B/HIP HOP;Digital;10 Million
Diamond;BAD BUNNY;MIA (FEAT. DRAKE);September 21, 2018;January 24, 2019;July 16, 2019;OCTOBER 11, 2018;LATIN;Latin;1.56 Million
Diamond;JASON MRAZ;I'M YOURS;September 17, 2008;October 9, 2008;June 24, 2019;FEBRUARY 12, 2008;POP;Digital;10 Million
Diamond;FUN.;WE ARE YOUNG (FEAT. JANELLE MONAE);March 13, 2012;March 13, 2012;June 13, 2019;SEPTEMBER 20, 2011;POP;Digital;10 Million
Diamond;DANNY OCEAN;ME REHUSO;May 8, 2019;May 8, 2019;May 8, 2019;JUNE 16, 2017;LATIN;Latin;0.78 Million
Diamond;ANUEL AA, KAROL G;SECRETO;February 27, 2019;February 27, 2019;April 24, 2019;JANUARY 15, 2019;LATIN;Latin;0.6 Million
Diamond;BAD BUNNY;SOY PEOR;April 24, 2019;April 24, 2019;April 24, 2019;DECEMBER 8, 2016;LATIN;Latin;0.66 Million
Diamond;KAROL G;MI CAMA;April 15, 2019;April 15, 2019;April 15, 2019;MAY 11, 2018;LATIN;Latin;0.6 Million
Diamond;KAROL G & ANUEL AA;CULPABLES;November 8, 2018;November 8, 2018;April 11, 2019;SEPTEMBER 14, 2018;LATIN;Latin;0.6 Million
Diamond;NICKY JAM & J BALVIN;X;March 25, 2019;March 25, 2019;March 25, 2019;MARCH 2, 2018;LATIN;Latin;2.1 Million
Diamond;CARLOS VIVES & SEBASTIAN YATRA;ROBARTE UN BESO;February 8, 2018;February 8, 2018;February 27, 2019;JULY 28, 2017;LATIN;Latin;0.96 Million
Diamond;BRYTIAGO & DARELL;ASESINA;July 27, 2018;July 27, 2018;February 8, 2019;MAY 11, 2015;LATIN;Latin;0.72 Million
Diamond;ED SHEERAN;THINKING OUT LOUD;July 7, 2015;July 7, 2015;February 8, 2019;SEPTEMBER 24, 2014;POP;Digital;12 Million
Diamond;ED SHEERAN;SHAPE OF YOU;February 16, 2017;February 16, 2017;January 24, 2019;JANUARY 6, 2017;POP;Digital;10 Million
Diamond;BRUNO MARS;JUST THE WAY YOU ARE;September 30, 2010;September 30, 2010;January 11, 2019;JULY 20, 2010;POP;Digital;13 Million
Diamond;KATY PERRY;DARK HORSE;February 25, 2014;February 25, 2014;December 12, 2018;OCTOBER 4, 2013;POP;Digital;11 Million
Diamond;BRUNO MARS;GRENADE;December 15, 2010;January 14, 2011;November 19, 2018;OCTOBER 5, 2010;POP;Digital;10 Million
Diamond;J BALVIN & WILLY WILLIAM;MI GENTE (FEAT. BEYONCE);December 1, 2017;December 1, 2017;October 29, 2018;JUNE 30, 2017;LATIN;Latin;4.08 Million
Diamond;FLORIDA GEORGIA LINE;CRUISE;October 5, 2012;November 26, 2012;October 10, 2018;APRIL 10, 2012;COUNTRY;Digital;11 Million
Diamond;DADDY YANKEE;VUELVE;September 24, 2018;September 24, 2018;September 24, 2018;SEPTEMBER 29, 2017;LATIN;Latin;0.6 Million
Diamond;DADDY YANKEE;LA ROMPE CORAZONES;September 24, 2018;September 24, 2018;September 24, 2018;JANUARY 20, 2017;LATIN;Latin;1.02 Million
Diamond;MAROON 5;MOVES LIKE JAGGER;August 30, 2011;August 30, 2011;September 13, 2018;JUNE 21, 2011;POP;Digital;10 Million
Diamond;OZUNA;SIGUELO BAILANDO;September 6, 2018;September 6, 2018;September 6, 2018;AUGUST 25, 2017;LATIN;Latin;0.78 Million
Diamond;OZUNA;SE PREPARO;August 31, 2018;August 31, 2018;September 4, 2018;AUGUST 25, 2017;LATIN;Latin;1.26 Million
Diamond;OZUNA;DILE QUE TU ME QUIERES;August 31, 2018;August 31, 2018;August 31, 2018;JUNE 6, 2016;LATIN;Latin;0.72 Million
Diamond;OZUNA;TU FOTO;August 29, 2018;August 29, 2018;August 29, 2018;AUGUST 25, 2017;LATIN;Latin;0.66 Million
Diamond;ONEREPUBLIC;COUNTING STARS;September 16, 2013;August 20, 2018;August 20, 2018;MARCH 26, 2013;POP;Digital;10 Million
Diamond;BECKY G;MAYORES (FEAT. BAD BUNNY);January 11, 2018;January 11, 2018;June 25, 2018;JULY 14, 2017;LATIN;Latin;1.26 Million
Diamond;YANDEL;EXPLICALE;June 13, 2018;June 13, 2018;June 13, 2018;AUGUST 11, 2017;LATIN;Latin;0.6 Million
Diamond;LMFAO;PARTY ROCK ANTHEM;September 14, 2011;September 14, 2011;June 6, 2018;JUNE 21, 2011;POP;Digital;10 Million
Diamond;ROBIN THICKE;BLURRED LINES;September 16, 2013;September 16, 2013;June 6, 2018;MARCH 21, 2013;POP;Digital;10 Million
Diamond;THE BLACK EYED PEAS;I GOTTA FEELING;May 18, 2010;May 18, 2010;June 6, 2018;JUNE 9, 2009;POP;Digital;10 Million
Diamond;CHRISTIAN NODAL;ADIOS AMOR;June 30, 2017;June 30, 2017;May 22, 2018;JANUARY 13, 2017;LATIN;Latin;1.26 Million
Diamond;NATTI NATASHA, OZUNA;CRIMINAL;;;May 22, 2018;SEPTEMBER 1, 2017;LATIN;Latin;0.9 Million
Diamond;MALUMA;CORAZON;December 15, 2017;April 20, 2018;April 20, 2018;NOVEMBER 3, 2017;LATIN;Latin;0.66 Million
Diamond;MALUMA;FELICES LOS 4;December 15, 2017;December 15, 2017;April 20, 2018;APRIL 21, 2017;LATIN;Latin;1.74 Million
Diamond;FARRUKO;KRIPPY KUSH;April 16, 2018;April 16, 2018;April 16, 2018;JULY 31, 2017;LATIN;Latin;0.96 Million
Diamond;SHAKIRA;LA TORTURA;October 27, 2005;March 8, 2018;March 8, 2018;APRIL 12, 2005;LATIN;Latin;1.92 Million
Diamond;KAROL G;AHORA ME LLAMA;July 17, 2017;August 4, 2017;March 1, 2018;MAY 26, 2017;LATIN;Latin;0.6 Million
Diamond;NACHO;BAILAME;July 20, 2017;July 20, 2017;March 1, 2018;APRIL 14, 2017;LATIN;Latin;0.6 Million
Diamond;EMINEM;LOSE YOURSELF;October 25, 2004;June 29, 2012;February 28, 2018;SEPTEMBER 5, 2002;R&B/HIP HOP;Digital;10 Million
Diamond;EMINEM;LOVE THE WAY YOU LIE (FEAT. RIHANNA);October 13, 2011;October 13, 2011;February 28, 2018;JUNE 21, 2011;R&B/HIP HOP;Digital;12 Million
Diamond;KATY PERRY;FIREWORK;January 19, 2011;January 19, 2011;February 13, 2018;OCTOBER 26, 2010;POP;Digital;12 Million
Diamond;MEGHAN TRAINOR;ALL ABOUT THAT BASS;August 11, 2014;August 22, 2014;January 23, 2018;JUNE 30, 2014;POP;Digital;10 Million
Diamond;LORDE;ROYALS;September 24, 2013;September 24, 2013;December 8, 2017;MARCH 19, 2013;ALTERNATIVE;Digital;10 Million
Diamond;NICKY JAM;EL PERDON;September 18, 2017;September 18, 2017;September 18, 2017;FEBRUARY 5, 2015;LATIN;Latin;1.62 Million
Diamond;NICKY JAM;HASTA EL AMANECER;September 18, 2017;September 18, 2017;September 18, 2017;JANUARY 15, 2016;LATIN;Latin;1.32 Million
Diamond;NICKY JAM;EL AMANTE;September 18, 2017;September 18, 2017;September 18, 2017;JANUARY 20, 2017;LATIN;Latin;0.78 Million
Diamond;KATY PERRY;ROAR;December 12, 2013;December 12, 2013;June 22, 2017;AUGUST 12, 2013;POP;Digital;10 Million
Diamond;LUIS FONSI & DADDY YANKEE;DESPACITO;March 29, 2017;March 29, 2017;June 8, 2017;JANUARY 13, 2017;LATIN;Latin;3.3 Million
Diamond;ENRIQUE IGLESIAS;DUELE EL CORAZON;May 18, 2017;May 18, 2017;May 18, 2017;MARCH 17, 2016;LATIN;Latin;0.72 Million
Diamond;SHAKIRA;CHANTAJE (FEAT. MALUMA);March 9, 2017;March 9, 2017;May 9, 2017;OCTOBER 28, 2016;LATIN;Latin;0.96 Million
Diamond;GENTE DE ZONA;LA GOZADERA;March 30, 2017;March 30, 2017;March 30, 2017;MAY 4, 2015;LATIN;Latin;0.72 Million
Diamond;ROMEO SANTOS;ERES MIA;January 26, 2017;January 26, 2017;January 26, 2017;FEBRUARY 25, 2014;LATIN;Latin;0.66 Million
Diamond;ROMEO SANTOS;PROMISE (FEAT. USHER);December 18, 2015;December 18, 2015;January 26, 2017;SEPTEMBER 6, 2011;LATIN;Latin;1.14 Million
Diamond;ROMEO SANTOS;PROPUESTA INDECENTE;January 26, 2017;January 26, 2017;January 26, 2017;JULY 30, 2013;LATIN;Latin;1.2 Million
Diamond;ROMEO SANTOS;ODIO (FEAT. DRAKE);February 18, 2014;February 18, 2014;January 26, 2017;JANUARY 28, 2014;LATIN;Latin;0.78 Million
Diamond;MARK RONSON;UPTOWN FUNK FEAT. BRUNO MARS;March 6, 2015;March 6, 2015;October 18, 2016;NOVEMBER 10, 2014;POP;Digital;11 Million
Diamond;CARLY RAE JEPSEN;CALL ME MAYBE;April 19, 2012;April 19, 2012;September 28, 2016;MARCH 1, 2012;POP;Digital;10 Million
Diamond;J BALVIN;GINZA;October 19, 2015;October 19, 2015;June 22, 2016;JULY 17, 2015;LATIN;Latin;0.6 Million
Diamond;CHINO & NACHO;ANDAS EN MI CABEZA;June 10, 2016;June 10, 2016;June 10, 2016;FEBRUARY 19, 2016;LATIN;Latin;0.9 Million
Diamond;MARC ANTHONY;VIVIR MI VIDA;December 18, 2015;December 18, 2015;December 18, 2015;APRIL 30, 2013;LATIN;Latin;0.96 Million
Diamond;LADY GAGA;POKER FACE;January 7, 2010;January 7, 2010;November 30, 2015;SEPTEMBER 23, 2008;POP;Digital;10 Million
Diamond;MACKLEMORE & RYAN LEWIS;THRIFT SHOP (FEAT. WANZ);May 1, 2013;May 1, 2013;November 19, 2015;AUGUST 28, 2012;R&B/HIP HOP;Digital;10 Million
Diamond;J BALVIN;6AM (FEAT. FARRUKO);March 31, 2015;March 31, 2015;October 19, 2015;DECEMBER 3, 2013;LATIN;Latin;0.6 Million
Diamond;J BALVIN;AY VAMOS;October 19, 2015;October 19, 2015;October 19, 2015;SEPTEMBER 16, 2014;LATIN;Latin;0.6 Million
Diamond;IMAGINE DRAGONS;RADIOACTIVE;January 17, 2013;March 28, 2013;July 6, 2015;MARCH 6, 2012;ALTERNATIVE;Digital;10 Million
Diamond;LADY GAGA;BAD ROMANCE;January 7, 2010;January 7, 2010;May 29, 2015;OCTOBER 26, 2009;POP;Digital;11 Million
Diamond;MILEY CYRUS;PARTY IN THE U.S.A.;January 13, 2010;January 13, 2010;July 23, 2014;AUGUST 11, 2009;POP;Digital;10 Million
Diamond;EMINEM;NOT AFRAID;June 10, 2014;June 10, 2014;June 10, 2014;JUNE 5, 2010;None;Digital;10 Million
Diamond;GOTYE;SOMEBODY THAT I USED TO KNOW;March 16, 2012;June 8, 2012;December 5, 2013;JULY 5, 2011;ALTERNATIVE;Digital;14 Million
Diamond;JUSTIN BIEBER;BABY (FEAT. LUDACRIS);August 2, 2010;August 2, 2010;May 9, 2013;MARCH 23, 2010;None;Digital;12 Million
Diamond;MAROON 5;MOVES LIKE JAGGER;August 30, 2011;August 30, 2011;April 8, 2013;JUNE 21, 2011;POP;Digital;10 Million
Diamond;TRAIN;HEY, SOUL SISTER;January 5, 2010;January 27, 2010;September 21, 2012;AUGUST 11, 2009;UNASSIGNED;Digital;10 Million
Diamond;LMFAO;PARTY ROCK ANTHEM;September 14, 2011;September 14, 2011;August 21, 2012;JUNE 21, 2011;POP;Digital;10 Million
Diamond;THE BLACK EYED PEAS;I GOTTA FEELING;May 18, 2010;May 18, 2010;June 29, 2012;JUNE 9, 2009;POP;Digital;10 Million
Diamond;ELTON JOHN;CANDLE IN THE WIND 1997/SOMETHING.YOU LOOK TONIGHT;September 23, 1997;September 23, 1997;October 9, 1997;SEPTEMBER 22, 1997;None;Standard;11 Million
